diskType, runtime, opType, pool, volume, blockSize, ioDepth, recoveryLimit,expectCost,actualCost
hdd,180,read,disk2_pool,foo1,4k,1,1,1,1.077264
hdd,180,read,disk2_pool,foo1,4k,1,158,1,1.336893
hdd,180,read,disk2_pool,foo1,4k,1,316,1,1.550142
hdd,180,read,disk2_pool,foo1,4k,1,500,1,1.833635
hdd,180,read,disk2_pool,foo1,4k,1,600,1,1.730653
hdd,180,read,disk2_pool,foo1,4k,8,1,1,1.237691
hdd,180,read,disk2_pool,foo1,4k,8,158,1,1.387888
hdd,180,read,disk2_pool,foo1,4k,8,316,1,2.069638
hdd,180,read,disk2_pool,foo1,4k,8,500,1,1.554406
hdd,180,read,disk2_pool,foo1,4k,8,600,1,2.037211
hdd,180,read,disk2_pool,foo1,4k,16,1,1,2.555162
hdd,180,read,disk2_pool,foo1,4k,16,158,1,2.777848
hdd,180,read,disk2_pool,foo1,4k,16,316,1,2.706314
hdd,180,read,disk2_pool,foo1,4k,16,500,1,3.544784
hdd,180,read,disk2_pool,foo1,4k,16,600,1,4.345115
hdd,180,read,disk2_pool,foo1,4k,32,1,1,5.216096
hdd,180,read,disk2_pool,foo1,4k,32,158,1,5.093945
hdd,180,read,disk2_pool,foo1,4k,32,316,1,6.596028
hdd,180,read,disk2_pool,foo1,4k,32,500,1,7.51288
hdd,180,read,disk2_pool,foo1,4k,32,600,1,8.002391
hdd,180,read,disk2_pool,foo1,4k,64,1,1,9.309281
hdd,180,read,disk2_pool,foo1,4k,64,158,1,13.108025
hdd,180,read,disk2_pool,foo1,4k,64,600,1,18.309163
hdd,180,read,disk2_pool,foo1,4k,128,1,1,20.616224
hdd,180,read,disk2_pool,foo1,4k,128,158,1,20.248764
hdd,180,read,disk2_pool,foo1,4k,128,316,1,23.643455
hdd,180,read,disk2_pool,foo1,4k,128,500,1,27.255506
hdd,180,read,disk2_pool,foo1,4k,128,600,1,33.354144
hdd,180,read,disk2_pool,foo1,4k,256,1,1,32.11715
hdd,180,read,disk2_pool,foo1,4k,256,158,1,40.099441
hdd,180,read,disk2_pool,foo1,4k,256,316,1,44.770097
hdd,180,read,disk2_pool,foo1,4k,256,500,1,54.012865
hdd,180,read,disk2_pool,foo1,4k,256,600,1,49.955525
hdd,180,read,disk2_pool,foo1,32k,1,1,1,1.757189
hdd,180,read,disk2_pool,foo1,32k,1,158,1,2.006794
hdd,180,read,disk2_pool,foo1,32k,1,316,1,3.848643
hdd,180,read,disk2_pool,foo1,32k,1,500,1,2.181895
hdd,180,read,disk2_pool,foo1,32k,1,600,1,3.491726
hdd,180,read,disk2_pool,foo1,32k,8,1,1,3.050457
hdd,180,read,disk2_pool,foo1,32k,8,158,1,3.927448
hdd,180,read,disk2_pool,foo1,32k,8,316,1,2.548077
hdd,180,read,disk2_pool,foo1,32k,8,500,1,5.178102
hdd,180,read,disk2_pool,foo1,32k,8,600,1,7.095754
hdd,180,read,disk2_pool,foo1,32k,16,1,1,6.165722
hdd,180,read,disk2_pool,foo1,32k,16,158,1,4.536025
hdd,180,read,disk2_pool,foo1,32k,16,316,1,10.903083
hdd,180,read,disk2_pool,foo1,32k,16,500,1,21.818098
hdd,180,read,disk2_pool,foo1,32k,16,600,1,22.043706
hdd,180,read,disk2_pool,foo1,32k,32,1,1,8.29501
hdd,180,read,disk2_pool,foo1,32k,32,158,1,14.349191
hdd,180,read,disk2_pool,foo1,32k,32,316,1,17.308778
hdd,180,read,disk2_pool,foo1,32k,32,500,1,56.667629
hdd,180,read,disk2_pool,foo1,32k,32,600,1,61.841521
hdd,180,read,disk2_pool,foo1,32k,64,1,1,26.546876
hdd,180,read,disk2_pool,foo1,32k,64,158,1,30.98088
hdd,180,read,disk2_pool,foo1,32k,64,316,1,37.778736
hdd,180,read,disk2_pool,foo1,32k,64,500,1,32.225228
hdd,180,read,disk2_pool,foo1,32k,128,1,1,52.436847
hdd,180,read,disk2_pool,foo1,32k,128,158,1,61.298368
hdd,180,read,disk2_pool,foo1,32k,128,316,1,93.957965
hdd,180,read,disk2_pool,foo1,32k,128,500,1,73.626423
hdd,180,read,disk2_pool,foo1,32k,128,600,1,153.592716
hdd,180,read,disk2_pool,foo1,32k,256,1,1,101.038722
hdd,180,read,disk2_pool,foo1,32k,256,158,1,116.856312
hdd,180,read,disk2_pool,foo1,32k,256,316,1,122.370631
