DiskType,IOType,ObjectSize,IODepth,RecoverLimit,r_iops,r_bw(MB/s),r_lat_avg(ms),r_lat_95(ms),r_lat_99(ms),w_iops,w_bw(MB/s),w_lat_avg(ms),w_lat_95(ms),w_lat_99(ms)
hdd,read,4k,1,1,2121,8.29,0.47,0.72,1.09,,,,,
hdd,read,4k,1,158,1909,7.46,0.52,0.77,1.22,,,,,
hdd,read,4k,1,316,1632,6.38,0.61,0.82,1.45,,,,,
hdd,read,4k,1,500,1640,6.41,0.61,0.72,1.7,,,,,
hdd,read,4k,1,600,1621,6.34,0.62,0.8,2.41,,,,,
hdd,read,4k,8,1,5781,22.6,1.38,1.45,2.67,,,,,
hdd,read,4k,8,158,5280,20.6,1.51,1.5,11.34,,,,,
hdd,read,4k,8,316,3619,14.1,2.21,1.94,33.82,,,,,
hdd,read,4k,8,500,4792,18.7,1.67,1.53,11.08,,,,,
hdd,read,4k,8,600,3703,14.5,2.16,1.76,32.38,,,,,
hdd,read,4k,16,1,5719,22.3,2.8,3.03,24.25,,,,,
hdd,read,4k,16,158,5309,20.7,3.01,3.03,27.39,,,,,
hdd,read,4k,16,316,5424,21.2,2.95,3.1,13.3,,,,,
hdd,read,4k,16,500,4185,16.3,3.82,4.23,38.01,,,,,
hdd,read,4k,16,600,3474,13.6,4.6,6.78,57.93,,,,,
hdd,read,4k,32,1,5852,22.9,5.47,7,30,,,,,
hdd,read,4k,32,158,5994,23.4,5.34,7,17,,,,,
hdd,read,4k,32,316,4659,18.2,6.87,11,48,,,,,
hdd,read,4k,32,500,4114,16.1,7.78,20,87,,,,,
hdd,read,4k,32,600,3890,15.2,8.22,23,101,,,,,
hdd,read,4k,64,1,6704,26.2,9.55,12,18,,,,,
hdd,read,4k,64,158,4787,18.7,13.37,30,93,,,,,
hdd,read,4k,64,600,3442,13.4,18.59,54,192,,,,,
hdd,read,4k,128,1,6136,23,20.86,41,50,,,,,
hdd,read,4k,128,158,6235,24.4,20.53,28,74,,,,,
hdd,read,4k,128,316,5352,20.9,23.91,47,174,,,,,
hdd,read,4k,128,500,4642,18.1,27.57,61,213,,,,,
hdd,read,4k,128,600,3808,14.9,33.61,108,300,,,,,
hdd,read,4k,256,1,7911,30.9,32.36,46,51,,,,,
hdd,read,4k,256,158,6340,24.8,40.38,69,174,,,,,
hdd,read,4k,256,316,5686,22.2,45.02,80,264,,,,,
hdd,read,4k,256,500,4717,18.4,54.26,169,326,,,,,
hdd,read,4k,256,600,5097,19.9,50.22,167,284,,,,,
